Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Molarity,Solvent 2_Molarity,Solvent 3_Molarity,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE (%),LCE,Current (mA/cm2),Capacity (mAh/cm2),Cycle
1 M LICLO4-PC + 5% FEC,PC,FEC,,11.754564689287674,0.6854998397043016,,LiClO4,,,1.0,,,0.013968481227056049,0.841984658474856,0.01658994743723491,0.8763302140905531,0.0041378841237753525,0.0041378841237753525,0.0,0.24942117143109072,0.2252759630204788,0.024145208410611897,0.2962300665701964,0.2962300665701964,0.0,80.0,0.6989700043360189,0.5,0.083,30.0
1 M LIPF6 EC-DMC (1:1 V) 2% VC,EC,DMC,,7.494719629352049,5.9392970536646015,0.31378564953629456,LiPF6,,,1.0,,,0.1454777972232165,1.0,0.1454777972232165,1.1697240967604192,0.03828262946791827,0.0,0.03828262946791827,0.26315101134765345,0.26315101134765345,0.0,0.26315101134765345,0.26315101134765345,0.0,80.0,0.6989700043360189,0.6,0.44,50.0
1 M LIBF4 EC-DMC (1:1 V) 2% VC,EC,DMC,,7.494719629352049,5.9392970536646015,0.31378564953629456,LiBF4,,,1.0,,,0.14263404324360732,0.9847837183017345,0.14483793811049253,1.1516640610825446,0.03756240205750315,0.01202153591049008,0.025540866147013067,0.2593409057566666,0.2593409057566666,0.0,0.2633480843934966,0.2633480843934966,0.0,80.0,0.6989700043360189,0.6,0.44,50.0
1M LITFPFB PC,PC,,,11.754564689287674,,,LiTFPFB,,,1.0,,,0.23991238995868602,0.7250091260459701,0.3309094759497883,0.98491421516788,0.07025376910012304,0.0,0.07025376910012304,0.21230509914676254,0.20645061838841897,0.005854480758343587,0.2928309334595894,0.2752674911845586,0.01756344227503076,80.6,0.7121982700697738,0.5,1.0,50.0
1 M LIPF6 EC-EMC (3:7 WT) 2% WT VC,EC,EMC,,3.690498260953578,7.284217721357674,0.31378564953629456,LiPF6,,,1.0,,,0.14580900230748536,0.8229825802430556,0.1771714320665485,0.9930930829351219,0.03829497162843632,0.0,0.03829497162843632,0.2161464248595795,0.2161464248595795,0.0,0.262637910022037,0.262637910022037,0.0,82.0,0.7447274948966941,0.5,1.0,10.0
1 M LITFSI EC-DMC (1:1 V) 2% VC,EC,DMC,,7.494719629352049,5.9392970536646015,0.31378564953629456,LiTFSI,,,1.0,,,0.13874947458059525,1.0462498248601984,0.132616007461827,1.2543740367310914,0.03642344893521116,0.0,0.03642344893521116,0.27465348740570034,0.2503711881155596,0.024282299290140773,0.26251233776062993,0.2503711881155596,0.012141149645070386,82.0,0.7447274948966941,0.6,0.44,50.0
1M LIPF6 EC-DMC (3:7 V/V),EC,DMC,,4.496831777611229,8.315015875130442,,LiPF6,,,1.0,,,0.1561055090732374,1.0,0.1561055090732374,1.182123093918777,0.03928025266926178,0.0,0.03928025266926178,0.25162630647989065,0.25162630647989065,0.0,0.25162630647989065,0.25162630647989065,0.0,83.3,0.7772835288524166,0.4,0.8,10.0
1M LIPF6 EC-DEC (1:2 W/W),EC,DEC,,3.9985508282452793,6.0519011319000615,,LiPF6,,,1.0,,,0.14199449874307085,0.7135544441110758,0.19899602604250222,0.8792146926446586,0.03823610996121603,0.0,0.03823610996121603,0.19214509315401823,0.19214509315401823,0.0,0.2692788122052644,0.2692788122052644,0.0,83.7,0.7878123955960424,1.0,1.0,40.0
1.5 M LIASF6-PC,PC,,,11.754564689287674,,,LiAsF6,,,1.5,,,0.19141499999999997,0.75,0.25522,0.9733175,0.05460855524046993,0.0,0.05460855524046993,0.21396659838754772,0.21396659838754772,0.0,0.28528879785006367,0.28528879785006367,0.0,85.0,0.8239087409443187,1.0,1.0,
1 M LIBETI EC-DMC (1:1 V) 2% VC,EC,DMC,VC,7.494719629352049,5.9392970536646015,0.31378564953629456,LiBETI,,,1.0,,,0.221026679103045,1.0,0.22102667910304497,1.2873346828339585,0.05857234153445593,0.0,0.05857234153445593,0.2650012286849267,0.2415722920711443,0.023428936613782373,0.2650012286849267,0.2415722920711443,0.023428936613782373,86.0,0.8538719643217619,0.6,0.44,50.0
