Description,Solvent 1,Solvent 2,Solvent 3,Solvent 1_Volume_Percent,Solvent 2_Volume_Percent,Solvent 3_Volume_Percent,Salt 1,Salt 2,Salt 3,Salt 1_Molarity,Salt 2_Molarity,Salt 3_Molarity
1 M LICLO4-PC + 5% FEC,PC,FEC,,1.0,0.05,,LiClO4,,,1.0,,
1 M LIPF6 EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiPF6,,,1.0,,
1 M LIBF4 EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiBF4,,,1.0,,
1M LITFPFB PC,PC,,,1.0,,,LiTFPFB,,,1.0,,
1 M LIPF6 EC-EMC (3:7 WT) 2% WT VC,EC,EMC,,0.24620655898188937,0.7537934410181106,0.02,LiPF6,,,1.0,,
1 M LITFSI EC-DMC (1:1 V) 2% VC,EC,DMC,,0.5,0.5,0.02,LiTFSI,,,1.0,,
1M LIPF6 EC-DMC (3:7 V/V),EC,DMC,,0.3,0.7,,LiPF6,,,1.0,,
1M LIPF6 EC-DEC (1:2 W/W),EC,DEC,,0.2667578659370725,0.7332421340629275,,LiPF6,,,1.0,,
1.5 M LIASF6-PC,PC,,,1.0,,,LiAsF6,,,1.5,,
1 M LIBETI EC-DMC (1:1 V) 2% VC,EC,DMC,VC,0.5,0.5,0.02,LiBETI,,,1.0,,
1 M LIPF6 EC-DMC (1:2 VOL),EC,DMC,,0.333,0.667,,LiPF6,,,1.0,,
1 M LIPF6 EC-DEC (3:7 WT),EC,DEC,,0.2404438964241677,0.7595561035758323,,LiPF6,,,1.0,,
1 M LIPF6-EC/DEC (1:1 VOL.),EC,DEC,,0.5,0.5,,LiPF6,,,1.0,,
0.6M LITFSI 0.4M LIBOB EC-EMC (5:5 WT),EC,EMC,,0.43250214961306965,0.5674978503869303,,LiTFSI,LiBOB,,0.6,0.4,
1M LIPF6 EC-DEC (1:1 W/W),EC,DEC,,0.42483660130718953,0.5751633986928105,,LiPF6,,,1.0,,
1 M LIPF6 EC-DMC (1:2 VOL) 2% TTFEB,EC,DMC,,0.333,0.667,0.02,LiPF6,,,1.0,,
0.6M LITFSI 0.4M LIBOB EC-EMC (7:3 WT),EC,EMC,,0.6400654426467914,0.35993455735320845,,LiTFSI,LiBOB,,0.6,0.4,
0.6M LITFSI 0.4M LIBOB EC-EMC (9:1 WT),EC,EMC,,0.8727588201272412,0.12724117987275882,,LiTFSI,LiBOB,,0.6,0.4,
1 M LIPF6 FEC-DMC (1:1 V),FEC,DMC,,0.5,0.5,,LiPF6,,,1.0,,
1 M LIPF6 FEC-EC-DEC (2:9:9 VOL),FEC,EC,DEC,0.1,0.45,0.45,LiPF6,,,1.0,,
1 M LITFSI EC-DMC (1:1 V) 5WT% FEC,EC,DMC,,0.5,0.5,0.05,LiTFSI,,,1.0,,
